cfg,label,reason,traceback
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\28_1511202465026310_FRA00028.CFG,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\29_1511202465027983_FRA00029.CFG,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\30_1511202465033983_FRA00030.CFG,PETIR,no fault detected,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\31_1511202465037958_FRA00031.CFG,PETIR,no fault detected,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN A 15-11-2024\Gangguan GITET BDSLN - DEPOK 15-11-2024.CFG,PETIR,protection=DIRECTIONAL_EF,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\03. MARET\07032025 GI CGRLG - MJLYA #2 PETIR\07032025 CGRLG - MJLYA  2\07.03.25 15.31.27.000.000.CFG,PETIR,no fault detected,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\03. MARET\07032025 GI CGRLG - MJLYA #2 PETIR\07032025 CGRLG - MJLYA  2\07.03.25 15.39.51.000.000.CFG,PETIR,no fault detected,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\03. MARET\07032025 GI CGRLG - MJLYA #2 PETIR\07032025 CGRLG - MJLYA  2\20250307_153951_427_r108.cfg,PETIR,no fault detected,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\04. APRIL\10042025 GI GIGERELENG- SUKALUYU BENDA ASING\10042025 GI GIGERELENG- SUKALUYU\230707,133810888,+7h0,GI CIGERELENG,CNJUR-RJMDL,Qualitrol LLC.cfg",BENDA_ASING,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\04. APRIL\10042025 LMJAN PLNGN 1 PETIR\10042025 LMJAN-PLNGN 1\DR\Thursday 10 April 2025 13.00.38.000.CFG,PETIR,protection=UNKNOWN,
