filename,full_path,fault_cause,folder_name,upt,year,month,equipment_type
20240423_015038_330_r065.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\23042024_GI PDLRU_JTLHUR 1_PETIR\April\20240423_015038_330_r065.cfg,PETIR,23042024_GI PDLRU_JTLHUR 1_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240424_141119_118_r092.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\23042024_GI PDLRU_JTLHUR 1_PETIR\April\20240424_141119_118_r092.cfg,PETIR,23042024_GI PDLRU_JTLHUR 1_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240423_015038_330_r065.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\23042024_GI PDLRU_JTLHUR 1_PETIR\April\20240423_015038_330_r065.cfg,PETIR,23042024_GI PDLRU_JTLHUR 1_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240424_141119_118_r092.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\23042024_GI PDLRU_JTLHUR 1_PETIR\April\20240424_141119_118_r092.cfg,PETIR,23042024_GI PDLRU_JTLHUR 1_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240423_015038_330_r065.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\24042024_GI CGRLG_MJLYA 2_PETIR\April\20240423_015038_330_r065.cfg,PETIR,24042024_GI CGRLG_MJLYA 2_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240424_141119_118_r092.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\24042024_GI CGRLG_MJLYA 2_PETIR\April\20240424_141119_118_r092.cfg,PETIR,24042024_GI CGRLG_MJLYA 2_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240423_015038_330_r065.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\24042024_GI CGRLG_MJLYA 2_PETIR\April\20240423_015038_330_r065.cfg,PETIR,24042024_GI CGRLG_MJLYA 2_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240424_141119_118_r092.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\24042024_GI CGRLG_MJLYA 2_PETIR\April\20240424_141119_118_r092.cfg,PETIR,24042024_GI CGRLG_MJLYA 2_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240424_140910_746_r245.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\24042024_GI MJLYA_CGRLG 2_PETIR\20240424_140910_746_r245.cfg,PETIR,24042024_GI MJLYA_CGRLG 2_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
20240424_140910_746_r245.cfg,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\DFR GANGGUAN UPT\UPT BANDUNG\2024\04. APRIL\24042024_GI MJLYA_CGRLG 2_PETIR\20240424_140910_746_r245.cfg,PETIR,24042024_GI MJLYA_CGRLG 2_PETIR,UPT BANDUNG,2024,04. APRIL,TRANSMISSION_LINE
